UTC_time,use [kW],gen [kW],House overall [kW],Dishwasher [kW],Furnace 1 [kW],Furnace 2 [kW],Home office [kW],Fridge [kW],Wine cellar [kW],Garage door [kW],Kitchen 12 [kW],Kitchen 14 [kW],Kitchen 38 [kW],Barn [kW],Well [kW],Microwave [kW],Living room [kW],Solar [kW],temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability
2016-01-06 23:53:20,0.300416667,0.00425,0.300416667,0.000266667,0.034866667,0.06435,0.042033333,0.005116667,0.0083,0.013066667,0.0007,1.67e-05,1.67e-05,0.03205,0.001,0.003166667,0.001383333,0.00425,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292,0.0,24.48,0.0
2016-01-06 23:53:21,0.2858,0.00425,0.2858,0.000266667,0.020516667,0.06395,0.04205,0.005133333,0.008483333,0.013083333,0.0007,0.0,1.67e-05,0.032066667,0.001,0.00315,0.001316667,0.00425,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292,0.0,24.48,0.0
2016-01-06 23:53:22,0.318933333,0.00425,0.318933333,0.000266667,0.0205,0.063766667,0.04205,0.0051,0.00825,0.013083333,0.000683333,0.0,1.67e-05,0.0722,0.001033333,0.00315,0.001416667,0.00425,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292,0.0,24.48,0.0
2016-01-06 23:53:23,0.318366667,0.004233333,0.318366667,0.000283333,0.020466667,0.063016667,0.04205,0.005116667,0.00855,0.0131,0.000683333,1.67e-05,0.0,0.07215,0.001033333,0.00315,0.0014,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292,0.0,24.48,0.0
2016-01-06 23:53:24,0.31765,0.004233333,0.31765,0.000266667,0.02045,0.063733333,0.04205,0.005116667,0.008266667,0.013066667,0.000683333,1.67e-05,0.0,0.070733333,0.00105,0.00315,0.001466667,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292,0.0,24.48,0.0
2016-01-06 23:53:25,0.28665,0.004233333,0.28665,0.000266667,0.020483333,0.065133333,0.04205,0.005116667,0.0084,0.0131,0.0007,1.67e-05,0.0,0.032016667,0.001,0.003166667,0.0014,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292,0.0,24.48,0.0
2016-01-06 23:53:26,0.419416667,0.00425,0.419416667,0.0003,0.020716667,0.175433333,0.042,0.005166667,0.00845,0.013216667,0.000716667,1.67e-05,0.0,0.031883333,0.001,0.003166667,0.001216667,0.00425,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292,0.0,24.48,0.0
2016-01-06 23:53:27,0.750633333,0.004233333,0.750633333,0.00035,0.021333333,0.453583333,0.041783333,0.005316667,0.008583333,0.0134,0.000633333,0.000183333,1.67e-05,0.031933333,0.001033333,0.003166667,0.00135,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292,0.0,24.48,0.0
2016-01-06 23:53:28,0.976266667,0.004216667,0.976266667,0.000416667,0.021783333,0.640883333,0.041616667,0.0054,0.00895,0.01355,0.0006,0.000283333,1.67e-05,0.032033333,0.001,0.00315,0.0013,0.004216667,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292,0.0,24.48,0.0
2016-01-06 23:53:29,1.011616667,0.004233333,1.011616667,0.000416667,0.021833333,0.6616,0.041616667,0.005416667,0.008616667,0.013566667,0.0006,0.0003,0.0,0.048666667,0.001016667,0.003133333,0.001433333,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292,0.0,24.48,0.0
