time,use [kW],gen [kW],House overall [kW],Dishwasher [kW],Furnace 1 [kW],Furnace 2 [kW],Home office [kW],Fridge [kW],Wine cellar [kW],Garage door [kW],Kitchen 12 [kW],Kitchen 14 [kW],Kitchen 38 [kW],Barn [kW],Well [kW],Microwave [kW],Living room [kW],Solar [kW],temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability
1452124400,0.300416667,0.00425,0.300416667,0.000266667,0.034866667,0.06435,0.042033333,0.005116667,0.0083,0.013066667,0.0007,1.67e-05,1.67e-05,0.03205,0.001,0.003166667,0.001383333,0.00425,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124401,0.2858,0.00425,0.2858,0.000266667,0.020516667,0.06395,0.04205,0.005133333,0.008483333,0.013083333,0.0007,0.0,1.67e-05,0.032066667,0.001,0.00315,0.001316667,0.00425,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124402,0.318933333,0.00425,0.318933333,0.000266667,0.0205,0.063766667,0.04205,0.0051,0.00825,0.013083333,0.000683333,0.0,1.67e-05,0.0722,0.001033333,0.00315,0.001416667,0.00425,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124403,0.318366667,0.004233333,0.318366667,0.000283333,0.020466667,0.063016667,0.04205,0.005116667,0.00855,0.0131,0.000683333,1.67e-05,0.0,0.07215,0.001033333,0.00315,0.0014,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124404,0.31765,0.004233333,0.31765,0.000266667,0.02045,0.063733333,0.04205,0.005116667,0.008266667,0.013066667,0.000683333,1.67e-05,0.0,0.070733333,0.00105,0.00315,0.001466667,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124405,0.28665,0.004233333,0.28665,0.000266667,0.020483333,0.065133333,0.04205,0.005116667,0.0084,0.0131,0.0007,1.67e-05,0.0,0.032016667,0.001,0.003166667,0.0014,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124406,0.419416667,0.00425,0.419416667,0.0003,0.020716667,0.175433333,0.042,0.005166667,0.00845,0.013216667,0.000716667,1.67e-05,0.0,0.031883333,0.001,0.003166667,0.001216667,0.00425,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124407,0.750633333,0.004233333,0.750633333,0.00035,0.021333333,0.453583333,0.041783333,0.005316667,0.008583333,0.0134,0.000633333,0.000183333,1.67e-05,0.031933333,0.001033333,0.003166667,0.00135,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124408,0.976266667,0.004216667,0.976266667,0.000416667,0.021783333,0.640883333,0.041616667,0.0054,0.00895,0.01355,0.0006,0.000283333,1.67e-05,0.032033333,0.001,0.00315,0.0013,0.004216667,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124409,1.011616667,0.004233333,1.011616667,0.000416667,0.021833333,0.6616,0.041616667,0.005416667,0.008616667,0.013566667,0.0006,0.0003,0.0,0.048666667,0.001016667,0.003133333,0.001433333,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124410,0.9886,0.004216667,0.9886,0.000416667,0.021733333,0.621483333,0.041633333,0.0054,0.008733333,0.013533333,0.000583333,0.000283333,1.67e-05,0.073483333,0.001066667,0.003133333,0.001366667,0.004216667,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124411,0.927833333,0.004216667,0.927833333,0.0004,0.021516667,0.572566667,0.041616667,0.00535,0.0087,0.013433333,0.000583333,0.00025,0.0,0.073033333,0.00105,0.00315,0.001483333,0.004216667,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124412,0.712033333,0.004216667,0.712033333,0.0003,0.09975,0.340133333,0.041816667,0.005183333,0.008433333,0.013116667,0.00065,8.33e-05,1.67e-05,0.055083333,0.001033333,0.003133333,0.001366667,0.004216667,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124413,0.434233333,0.004233333,0.434233333,0.0002,0.173466667,0.063166667,0.042116667,0.005,0.0083,0.012816667,0.000716667,8.33e-05,0.0,0.031866667,0.001,0.003133333,0.001383333,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124414,0.757533333,0.004233333,0.757533333,5e-05,0.505766667,0.063816667,0.042333333,0.00475,0.008066667,0.012383333,0.00075,0.00035,1.67e-05,0.03195,0.001,0.003166667,0.0013,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124415,0.754216667,0.004233333,0.754216667,3.33e-05,0.501716667,0.0644,0.042333333,0.004766667,0.008183333,0.0124,0.000766667,0.00035,0.0,0.031933333,0.001016667,0.00315,0.00125,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124416,0.752016667,0.004216667,0.752016667,5e-05,0.5002,0.064083333,0.042333333,0.00475,0.007983333,0.012383333,0.000766667,0.00035,0.0,0.0319,0.001016667,0.00315,0.001316667,0.004216667,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124417,0.706033333,0.004233333,0.706033333,5e-05,0.4554,0.062083333,0.04225,0.0048,0.008133333,0.01245,0.000766667,0.0003,0.0,0.031933333,0.001016667,0.003133333,0.0013,0.004233333,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124418,0.635633333,0.00425,0.635633333,0.0001,0.380583333,0.063783333,0.0422,0.00485,0.008183333,0.012533333,0.000733333,0.00025,0.0,0.0319,0.001016667,0.00315,0.0013,0.00425,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124419,0.292866667,0.004216667,0.292866667,0.000266667,0.020466667,0.070266667,0.042033333,0.005133333,0.008266667,0.01305,0.0007,1.67e-05,0.0,0.032016667,0.001,0.00315,0.001266667,0.004216667,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124420,0.42585,0.004216667,0.42585,0.0003,0.020716667,0.1806,0.041983333,0.005183333,0.008466667,0.01315,0.000683333,3.33e-05,0.0,0.0319,0.001,0.003166667,0.001316667,0.004216667,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
1452124421,0.821633333,0.0042,0.821633333,0.000383333,0.021416667,0.514133333,0.041716667,0.005333333,0.0085,0.013416667,0.000616667,0.000216667,0.0,0.031916667,0.001,0.003133333,0.001283333,0.0042,34.47,clear-night,0.66,10.0,Clear,28.0,1012.91,7.75,0.5,292.0,0.0,24.48,0.0
