Datetime,Price ($/MWh)
2016-01-01 00:00:00,13.67
2016-01-01 01:00:00,13.23
2016-01-01 02:00:00,12.53
2016-01-01 03:00:00,11.07
2016-01-01 04:00:00,11.07
2016-01-01 05:00:00,11.07
2016-01-01 06:00:00,11.06
2016-01-01 07:00:00,11.24
2016-01-01 08:00:00,11.99
2016-01-01 09:00:00,13.01
2016-01-01 10:00:00,15.03
2016-01-01 11:00:00,16.88
2016-01-01 12:00:00,19.13
2016-01-01 13:00:00,19.36
2016-01-01 14:00:00,18.64
2016-01-01 15:00:00,19.03
2016-01-01 16:00:00,19.48
2016-01-01 17:00:00,21.23
2016-01-01 18:00:00,20.9
2016-01-01 19:00:00,20.66
2016-01-01 20:00:00,20.44
2016-01-01 21:00:00,19.66
2016-01-01 22:00:00,18.74
2016-01-01 23:00:00,19.81
2016-02-01 00:00:00,19.43
2016-02-01 01:00:00,19.49
2016-02-01 02:00:00,18.47
2016-02-01 03:00:00,19.32
2016-02-01 04:00:00,19.6
2016-02-01 05:00:00,19.63
2016-02-01 06:00:00,19.5
2016-02-01 07:00:00,19.41
2016-02-01 08:00:00,21.08
2016-02-01 09:00:00,20.52
2016-02-01 10:00:00,21.38
2016-02-01 11:00:00,21.68
2016-02-01 12:00:00,21.5
2016-02-01 13:00:00,21.65
2016-02-01 14:00:00,20.52
2016-02-01 15:00:00,20.64
2016-02-01 16:00:00,23.29
2016-02-01 17:00:00,26.17
2016-02-01 18:00:00,23.23
2016-02-01 19:00:00,22.51
2016-02-01 20:00:00,22.51
2016-02-01 21:00:00,21.43
2016-02-01 22:00:00,19.54
2016-02-01 23:00:00,17.93
2016-03-01 00:00:00,15.35
2016-03-01 01:00:00,16.15
2016-03-01 02:00:00,14.36
2016-03-01 03:00:00,12.98
2016-03-01 04:00:00,11.76
2016-03-01 05:00:00,12.34
2016-03-01 06:00:00,12.94
2016-03-01 07:00:00,12.55
2016-03-01 08:00:00,12.96
2016-03-01 09:00:00,13.68
2016-03-01 10:00:00,14.42
2016-03-01 11:00:00,15.43
2016-03-01 12:00:00,14.8
2016-03-01 13:00:00,14.76
2016-03-01 14:00:00,14.75
2016-03-01 15:00:00,15.01
2016-03-01 16:00:00,16.32
2016-03-01 17:00:00,23.53
2016-03-01 18:00:00,21.39
2016-03-01 19:00:00,19.13
2016-03-01 20:00:00,15.29
2016-03-01 21:00:00,14.8
2016-03-01 22:00:00,14.61
2016-03-01 23:00:00,14.66
2016-04-01 00:00:00,14.41
2016-04-01 01:00:00,14.76
2016-04-01 02:00:00,14.86
2016-04-01 03:00:00,19.19
2016-04-01 04:00:00,19.43
2016-04-01 05:00:00,18.63
2016-04-01 06:00:00,18.7
2016-04-01 07:00:00,19.22
2016-04-01 08:00:00,19.69
2016-04-01 09:00:00,18.89
2016-04-01 10:00:00,20.3
2016-04-01 11:00:00,21.77
2016-04-01 12:00:00,21.27
2016-04-01 13:00:00,20.98
2016-04-01 14:00:00,21.13
2016-04-01 15:00:00,20.92
2016-04-01 16:00:00,25.53
2016-04-01 17:00:00,35.62
2016-04-01 18:00:00,34.0
2016-04-01 19:00:00,22.51
2016-04-01 20:00:00,21.37
2016-04-01 21:00:00,20.41
2016-04-01 22:00:00,19.48
2016-04-01 23:00:00,19.31
2016-05-01 00:00:00,18.98
2016-05-01 01:00:00,18.59
2016-05-01 02:00:00,18.61
2016-05-01 03:00:00,15.5
2016-05-01 04:00:00,15.58
2016-05-01 05:00:00,16.75
2016-05-01 06:00:00,20.45
2016-05-01 07:00:00,26.76
2016-05-01 08:00:00,25.24
2016-05-01 09:00:00,26.93
2016-05-01 10:00:00,26.5
2016-05-01 11:00:00,27.5
2016-05-01 12:00:00,29.48
2016-05-01 13:00:00,25.67
2016-05-01 14:00:00,23.34
2016-05-01 15:00:00,23.22
2016-05-01 16:00:00,22.71
2016-05-01 17:00:00,48.03
2016-05-01 18:00:00,44.19
2016-05-01 19:00:00,33.04
2016-05-01 20:00:00,21.84
2016-05-01 21:00:00,19.23
2016-05-01 22:00:00,16.78
2016-05-01 23:00:00,15.82
2016-06-01 00:00:00,15.16
2016-06-01 01:00:00,15.02
2016-06-01 02:00:00,15.02
2016-06-01 03:00:00,16.89
2016-06-01 04:00:00,16.52
2016-06-01 05:00:00,17.76
2016-06-01 06:00:00,20.28
2016-06-01 07:00:00,73.28
2016-06-01 08:00:00,31.8
2016-06-01 09:00:00,20.4
2016-06-01 10:00:00,22.8
2016-06-01 11:00:00,20.23
2016-06-01 12:00:00,19.73
2016-06-01 13:00:00,22.04
2016-06-01 14:00:00,19.61
2016-06-01 15:00:00,22.2
2016-06-01 16:00:00,34.97
2016-06-01 17:00:00,79.37
2016-06-01 18:00:00,30.6
2016-06-01 19:00:00,22.19
2016-06-01 20:00:00,19.64
2016-06-01 21:00:00,22.37
2016-06-01 22:00:00,19.44
2016-06-01 23:00:00,18.09
