Datetime,Price ($/MWh)
2010-01-01 07:00:00,51.12
2010-01-01 08:00:00,48.79
2010-01-01 09:00:00,39.56
2010-01-01 10:00:00,36.27
2010-01-01 11:00:00,36.16
2010-01-01 12:00:00,34.9
2010-01-01 13:00:00,33.33
2010-01-01 14:00:00,21.16
2010-01-01 15:00:00,24.42
2010-01-01 16:00:00,16.4
2010-01-01 17:00:00,22.94
2010-01-01 18:00:00,33.1
2010-01-01 19:00:00,39.24
2010-01-01 20:00:00,37.87
2010-01-01 21:00:00,38.22
2010-01-01 22:00:00,37.33
2010-01-01 23:00:00,41.98
2010-01-02 00:00:00,57.66
2010-01-02 01:00:00,51.75
2010-01-02 02:00:00,50.68
2010-01-02 03:00:00,48.06
2010-01-02 04:00:00,45.03
2010-01-02 05:00:00,44.59
2010-01-02 06:00:00,38.85
2010-01-02 07:00:00,28.44
2010-01-02 08:00:00,29.42
2010-01-02 09:00:00,25.99
2010-01-02 10:00:00,25.42
2010-01-02 11:00:00,16.82
2010-01-02 12:00:00,17.61
2010-01-02 13:00:00,24.16
2010-01-02 14:00:00,37.07
2010-01-02 15:00:00,42.48
2010-01-02 16:00:00,41.89
2010-01-02 17:00:00,48.18
2010-01-02 18:00:00,56.09
2010-01-02 19:00:00,57.0
2010-01-02 20:00:00,56.96
2010-01-02 21:00:00,45.77
2010-01-02 22:00:00,44.21
2010-01-02 23:00:00,49.62
2010-01-03 00:00:00,56.92
2010-01-03 01:00:00,57.0
2010-01-03 02:00:00,57.01
2010-01-03 03:00:00,57.0
2010-01-03 04:00:00,56.76
2010-01-03 05:00:00,49.38
2010-01-03 06:00:00,43.49
2010-01-03 07:00:00,25.47
2010-01-03 08:00:00,16.73
2010-01-03 09:00:00,26.26
2010-01-03 10:00:00,41.28
2010-01-03 11:00:00,31.74
2010-01-03 12:00:00,24.9
2010-01-03 13:00:00,29.24
2010-01-03 14:00:00,29.68
2010-01-03 15:00:00,34.11
2010-01-03 16:00:00,35.47
2010-01-03 17:00:00,32.02
2010-01-03 18:00:00,30.66
2010-01-03 19:00:00,30.84
2010-01-03 20:00:00,30.16
2010-01-03 21:00:00,30.14
2010-01-03 22:00:00,29.75
2010-01-03 23:00:00,51.87
2010-01-04 00:00:00,66.01
2010-01-04 01:00:00,60.05
2010-01-04 02:00:00,55.58
2010-01-04 03:00:00,55.06
2010-01-04 04:00:00,50.84
2010-01-04 05:00:00,33.34
2010-01-04 06:00:00,24.54
2010-01-04 07:00:00,16.46
2010-01-04 08:00:00,17.61
2010-01-04 09:00:00,17.61
2010-01-04 10:00:00,17.61
2010-01-04 11:00:00,16.38
2010-01-04 12:00:00,16.9
2010-01-04 13:00:00,42.45
2010-01-04 14:00:00,51.67
2010-01-04 15:00:00,56.7
2010-01-04 16:00:00,56.76
2010-01-04 17:00:00,57.14
2010-01-04 18:00:00,57.22
2010-01-04 19:00:00,57.21
2010-01-04 20:00:00,57.21
2010-01-04 21:00:00,56.84
2010-01-04 22:00:00,55.06
2010-01-04 23:00:00,50.06
2010-01-05 00:00:00,57.2
2010-01-05 01:00:00,55.15
2010-01-05 02:00:00,53.22
2010-01-05 03:00:00,57.19
2010-01-05 04:00:00,51.6
2010-01-05 05:00:00,44.36
2010-01-05 06:00:00,28.49
2010-01-05 07:00:00,20.32
2010-01-05 08:00:00,24.2
2010-01-05 09:00:00,21.77
2010-01-05 10:00:00,19.33
2010-01-05 11:00:00,16.58
2010-01-05 12:00:00,22.7
2010-01-05 13:00:00,36.13
2010-01-05 14:00:00,45.71
2010-01-05 15:00:00,53.39
2010-01-05 16:00:00,48.49
2010-01-05 17:00:00,49.67
2010-01-05 18:00:00,48.44
2010-01-05 19:00:00,50.55
2010-01-05 20:00:00,48.34
2010-01-05 21:00:00,45.22
2010-01-05 22:00:00,44.81
2010-01-05 23:00:00,48.1
2010-01-06 00:00:00,56.67
2010-01-06 01:00:00,55.72
2010-01-06 02:00:00,52.15
2010-01-06 03:00:00,49.05
2010-01-06 04:00:00,55.47
2010-01-06 05:00:00,47.85
2010-01-06 06:00:00,37.25
2010-01-06 07:00:00,40.27
2010-01-06 08:00:00,35.48
2010-01-06 09:00:00,35.0
2010-01-06 10:00:00,35.0
2010-01-06 11:00:00,35.0
2010-01-06 12:00:00,35.0
2010-01-06 13:00:00,43.83
2010-01-06 14:00:00,53.78
2010-01-06 15:00:00,57.79
2010-01-06 16:00:00,56.5
2010-01-06 17:00:00,55.94
2010-01-06 18:00:00,55.57
2010-01-06 19:00:00,52.94
2010-01-06 20:00:00,44.52
2010-01-06 21:00:00,40.23
2010-01-06 22:00:00,37.96
2010-01-06 23:00:00,44.66
2010-01-07 00:00:00,55.89
2010-01-07 01:00:00,50.95
2010-01-07 02:00:00,52.98
2010-01-07 03:00:00,47.65
2010-01-07 04:00:00,49.03
2010-01-07 05:00:00,42.47
2010-01-07 06:00:00,37.83
2010-01-07 07:00:00,43.17
2010-01-07 08:00:00,35.51
2010-01-07 09:00:00,43.77
2010-01-07 10:00:00,42.99
